GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_0732,247.1319684,245.2049268,248.6501586,232.3450329,253.303044
PP_0735,128.9351495,102.4421135,129.389544,94.71737652,100.7568223
PP_0736,233.3940803,197.6298763,228.0632299,164.8114311,180.5225599
PP_0744,101.1950774,98.66098338,86.77363312,98.33526862,96.45683401
PP_0745,148.0081838,141.5344154,129.7047782,134.224802,144.8060688
PP_0746,47.13086243,60.3253252,48.55176366,61.33476273,64.78177056
PP_0747,53.62682514,63.15494161,58.09395526,57.15572082,77.07278939
PP_0751,400.7723688,534.5366003,349.3742047,458.6189179,566.3763181
PP_0762,76.54452147,52.9505965,71.73764539,54.38842214,64.06645796
PP_0763,44.24584419,59.28190264,40.99999039,85.6260555,84.59306184
PP_0774,831.4597755,841.8488766,757.4190675,951.2194404,777.1000254
PP_0777,469.639242,368.9196643,510.0781654,500.2375528,330.793404
PP_0786,102.8661124,176.5768216,145.7107415,207.8890366,165.7087056
PP_0787,155.8471669,149.8491057,161.1953119,151.9470065,153.8473395
PP_0789,105.342419,102.7979097,113.8494736,96.42775386,94.22347227
PP_0793,604.852476,526.105162,576.4579049,471.6624702,474.1461215
PP_0794,154.5376504,121.1144417,163.4646473,143.1602451,119.191196
PP_0795,424.9720513,304.6336401,420.6224864,342.144126,274.4057807
PP_0799,79.00899659,55.2245023,59.77399631,59.25291945,65.46467837
PP_0808,1951.14717,77.57143985,1891.560576,417.1635304,71.68725845
PP_0809,114.0925009,101.7857996,102.8421743,108.3529012,102.9061131
PP_0812,61.17026614,43.71214524,54.40044711,28.76194475,36.82526353
PP_0813,95.91375571,89.18747849,110.0685328,78.10944428,90.31157508
PP_0814,19.83065884,13.35092628,20.57875776,9.656269702,15.50602591
PP_0815,11.83317086,8.193579162,11.52532626,5.972641903,10.20606057
PP_0816,23.64647486,17.68986673,25.76486435,16.7132278,17.85491368
PP_0817,208.638844,288.7073237,214.2068274,247.4468213,327.5436109
PP_0823,304.5223857,286.2507525,335.6694002,294.4400006,292.0987371
PP_0824,113.306856,124.5411733,91.17381323,77.53216832,124.5534798
PP_0825,38.00074613,38.77517333,31.07805669,29.41042011,33.45514078
PP_0826,25.83107062,31.36389348,30.98190695,34.15887103,39.33458815
PP_0827,53.98471716,38.96150721,46.66731247,37.21358864,37.66185558
PP_0832,126.091804,106.5171666,82.06459093,86.28574603,105.7953255
PP_0833,276.4875618,266.0370922,264.3957394,227.8473783,270.8998301
PP_0838,422.1138625,475.995376,414.6497681,393.696045,465.3228007
PP_0840,291.8533279,173.566166,318.303772,188.6942916,167.4558598
PP_0842,1382.922511,446.5352302,1900.682748,482.5460926,441.4816428
PP_0843,391.4138607,175.0871772,474.0194513,178.1700297,167.6578619
PP_0844,237.4519514,120.8951475,313.3807561,132.4308744,128.5431918
PP_0847,378.6945517,205.4684548,394.2585898,213.4027378,181.4374676
PP_0849,1238.052562,1224.167321,974.1514767,869.3724166,1053.559679
PP_0853,429.3944457,431.3895645,440.005842,357.2709222,395.4682906
PP_0854,637.265318,518.4904017,650.4806531,511.1429118,504.6322651
PP_0860,63.84244892,71.13215931,76.14952121,63.15453854,69.79512161
PP_0864,121.9202742,150.5517894,115.7797166,119.9058815,174.0940845
PP_0867,54.49213571,67.00611419,48.37338084,48.06771318,69.92175057
PP_0868,227.8079731,271.348319,202.5619875,261.1264495,226.6277806
PP_0869,114.0564813,110.5091092,86.13953793,92.04241887,93.758518
PP_0870,141.0660417,132.4788487,127.8757751,111.2150835,124.955121
PP_0871,115.375181,115.2669041,119.7034807,94.20907997,104.6798234
PP_0873,26.12026569,20.09714821,24.28712174,25.44313498,19.33430363
PP_0878,77.94350851,98.88975478,94.84392997,121.5106568,86.47554555
PP_0879,59.40687131,50.93604137,57.98324051,84.18809917,53.56174973
PP_0880,45.50033614,42.88170354,42.15811437,61.79432504,47.99162254
PP_0881,91.02927808,82.33882069,87.64213532,131.9824576,92.09448419
